nome_concelho,dico,respostas
"Águeda",101,3
"Albergaria-a-Velha",102,2
"Arouca",104,2
"Aveiro",105,15
"Castelo de Paiva",106,1
"Espinho",107,4
"Estarreja",108,1
"Santa Maria da Feira",109,13
"Ílhavo",110,7
"Mealhada",111,3
"Oliveira de Azeméis",113,2
"Oliveira do Bairro",114,1
"Ovar",115,5
"Sever do Vouga",117,6
"Vagos",118,1
"Almodôvar",202,1
"Beja",205,4
"Amares",301,2
"Barcelos",302,7
"Braga",303,53
"Celorico de Basto",305,6
"Guimarães",308,36
"Póvoa de Lanhoso",309,1
"Vieira do Minho",311,1
"Vila Nova de Famalicão",312,12
"Vila Verde",313,2
"Vizela",314,6
"Alfândega da Fé",401,1
"Bragança",402,1
"Freixo de Espada à Cinta",404,1
"Macedo de Cavaleiros",405,1
"Mirandela",407,2
"Castelo Branco",502,1
"Covilhã",503,5
"Penamacor",507,4
"Sertã",509,1
"Arganil",601,2
"Cantanhede",602,1
"Coimbra",603,17
"Condeixa-a-Nova",604,1
"Figueira da Foz",605,2
"Góis",606,2
"Lousã",607,1
"Miranda do Corvo",609,2
"Montemor-o-Velho",610,2
"Oliveira do Hospital",611,1
"Penacova",613,2
"Penela",614,1
"Vila Nova de Poiares",617,3
"Alandroal",701,1
"Arraiolos",702,2
"Évora",705,26
"Mora",707,1
"Albufeira",801,9
"Castro Marim",804,1
"Faro",805,6
"Lagoa (Algarve)",806,4
"Lagos",807,16
"Loulé",808,4
"Monchique",809,1
"Olhão",810,14
"Portimão",811,10
"Silves",813,5
"Tavira",814,1
"Vila do Bispo",815,1
"Figueira de Castelo Rodrigo",904,1
"Gouveia",906,1
"Guarda",907,2
"Seia",912,2
"Vila Nova de Foz Côa",914,2
"Alcobaça",1001,43
"Alvaiázere",1002,7
"Ansião",1003,5
"Caldas da Rainha",1006,22
"Leiria",1009,19
"Marinha Grande",1010,7
"Nazaré",1011,2
"Óbidos",1012,3
"Pedrógão Grande",1013,1
"Peniche",1014,8
"Pombal",1015,13
"Alenquer",1101,8
"Arruda dos Vinhos",1102,2
"Azambuja",1103,1
"Cadaval",1104,1
"Cascais",1105,97
"Lisboa",1106,153
"Loures",1107,30
"Mafra",1109,23
"Oeiras",1110,57
"Sintra",1111,69
"Sobral de Monte Agraço",1112,1
"Torres Vedras",1113,10
"Vila Franca de Xira",1114,21
"Amadora",1115,17
"Odivelas",1116,19
"Elvas",1207,1
"Portalegre",1214,1
"Amarante",1301,2
"Baião",1302,1
"Gondomar",1304,26
"Maia",1306,10
"Marco de Canaveses",1307,4
"Matosinhos",1308,18
"Paços de Ferreira",1309,4
"Paredes",1310,4
"Penafiel",1311,4
"Porto",1312,15
"Póvoa de Varzim",1313,20
"Santo Tirso",1314,3
"Valongo",1315,5
"Vila do Conde",1316,9
"Vila Nova de Gaia",1317,56
"Abrantes",1401,2
"Alcanena",1402,1
"Almeirim",1403,2
"Benavente",1405,4
"Cartaxo",1406,1
"Entroncamento",1410,2
"Rio Maior",1414,1
"Santarém",1416,16
"Tomar",1418,4
"Torres Novas",1419,8
"Vila Nova da Barquinha",1420,2
"Almada",1503,26
"Barreiro",1504,8
"Moita",1506,1
"Montijo",1507,4
"Palmela",1508,9
"Santiago do Cacém",1509,1
"Seixal",1510,16
"Sesimbra",1511,4
"Setúbal",1512,27
"Sines",1513,1
"Melgaço",1603,5
"Monção",1604,2
"Ponte da Barca",1606,1
"Ponte de Lima",1607,2
"Viana do Castelo",1609,1
"Chaves",1703,2
"Murça",1707,1
"Santa Marta de Penaguião",1711,1
"Vila Real",1714,1
"Carregal do Sal",1802,2
"Castro Daire",1803,1
"Cinfães",1804,4
"Lamego",1805,5
"Mangualde",1806,1
"Nelas",1809,6
"Oliveira de Frades",1810,5
"Resende",1813,8
"São Pedro do Sul",1816,2
"Sátão",1817,3
"Tarouca",1820,1
"Tondela",1821,2
"Viseu",1823,19
"Vouzela",1824,3
"Calheta (Madeira)",3101,1
"Câmara de Lobos",3102,1
"Funchal",3103,12
"Santa Cruz",3108,2
"Porto Santo",3201,5
"Lagoa (São Miguel)",4201,2
"Ponta Delgada",4203,10
"Ribeira Grande",4205,1
"Angra do Heroísmo",4301,1
"Madalena",4602,1
"",,149
